player,positions_played,bats,throws,notes
Alder,C,S,L,"freshman, limited reps"
Birch,1B,R,R,took reps at a second spot in fall
Cedar,2B/SS,S,R,everyday starter
Dogwood,SS/3B,S,R,platoon bat
Elm,3B/1B,R,R,took reps at a second spot in fall
Fir,SS/2B/3B,S,L,
Gum,LF/CF,R,R,took reps at a second spot in fall
Hawthorn,CF,R,R,everyday starter
Ironwood,RF/LF,R,R,took reps at a second spot in fall
Juniper,2B/OF,R,L,defensive replacement
Katsura,C/1B,S,R,took reps at a second spot in fall
Larch,SS,R,R,"freshman, limited reps"
Maple,OF,R,R,"freshman, limited reps"
Nyssa,1B/OF,L,L,took reps at a second spot in fall
Oak,3B/SS,R,R,defensive replacement
Poplar,2B,R,R,everyday starter
Quince,CF/RF,R,R,"freshman, limited reps"
Redbud,C/3B,R,R,"freshman, limited reps"
Spruce,SS/OF,R,R,
Tupelo,1B/3B,R,R,platoon bat
